long,lat
-122.785612,47.98059
-122.343577,47.672491
-122.168422,47.614824
-122.227947,47.565443
-122.151342,47.560192
-122.446226,47.199152
-122.122018,47.678465
-122.469161,47.415443
-122.80237,47.02499
-123.020941,46.96755
-122.085999,48.016305
-122.122018,47.678465
-122.633393,47.748427
-123.020941,46.96755
-122.201515,47.843376
-121.876276,47.735749
-122.024951,47.670286
-122.170798,47.184615
-122.370159,47.743354
-120.441155,46.626077
-123.092863,48.056267
-122.370159,47.743354
-122.275593,47.54055
-122.028168,47.586173
-122.19615,47.894423
-120.336499,47.425146
-122.132064,47.759381
-122.414936,48.709388
-122.014191,47.559121
-122.315095,47.249812
-122.029605,47.939428
-122.143231,47.611666
-122.203169,47.619011
-122.727446,48.951762
-122.590961,47.532193
-122.045204,48.19401
-122.028168,47.586173
-122.781876,47.089772
-122.874042,46.998873
-122.024951,47.670286
-122.628735,45.715902
-122.188994,47.678406
-122.379354,47.687571
-122.508465,45.670446
-122.057522,47.749161
-122.375438,47.667804
-119.282747,46.129715
-122.024951,47.670286
-122.506857,47.285977
-122.30251,47.488635
-119.282747,46.129715
-122.534497,47.643688
-122.354954,47.537664
-122.227947,47.565443
-122.196448,47.40561
-121.844616,47.592152
-122.343983,47.739969
-122.227947,47.565443
-122.024951,47.670286
-122.469847,47.247509
-122.170798,47.184615
-122.197147,47.757791
-122.628735,45.715902
-122.188994,47.678406
-122.275593,47.54055
-122.296466,47.631708
-122.534497,47.643688
-122.116674,47.363112
-122.30033,47.585339
-117.238638,46.260282
-122.628735,45.715902
-122.375438,47.667804
-121.819086,47.539931
-122.201515,47.843376
-122.028168,47.586173
-122.308752,48.21817
-117.352803,47.604595
-122.183961,47.510245
-122.042724,47.623594
-122.599454,47.36582
-122.143231,47.611666
-122.343577,47.672491
-122.522657,45.795099
-119.282747,46.129715
-122.188994,47.678406
-122.249664,47.497442
-122.374864,47.548552
-122.306552,47.792041
-122.469161,47.415443
-122.143231,47.611666
-122.414936,48.709388
-122.010741,47.506838
-122.143231,47.611666
-122.137386,47.444808
-122.196448,47.40561
-122.201515,47.843376
-122.469864,45.732426
-122.30033,47.585339
-122.303604,47.716244
-122.692143,45.797008
-122.577964,45.62094
-122.534497,47.643688
-121.668459,47.426482
-122.197147,47.757791
-122.686329,45.713105
-122.122018,47.678465
-122.201515,47.843376
-122.362029,47.308531
-122.321673,47.634289
-122.195157,47.988773
-117.352803,47.604595
-122.313368,47.54411
-122.116674,47.363112
-122.143231,47.611666
-122.042724,47.623594
-122.16684,47.053962
-121.876276,47.735749
-123.011746,46.173162
